CustomerID,AmountSpent,ProductCategory,LoginFrequency,ServiceUsage,ChurnStatus,Days_Since_Last_Transaction,Days_Since_last_Interaction,Days_Since_Last_Login
1,416.5,Electronics,34,Mobile App,0,1210,1206.0,637
2,54.96,Clothing,5,Website,1,1076,1220.0,592
2,197.5,Electronics,5,Website,1,1090,1220.0,592
2,101.31,Furniture,5,Website,1,1271,1220.0,592
2,397.37,Clothing,5,Website,1,1091,1220.0,592
2,285.21,Electronics,5,Website,1,1287,1220.0,592
2,311.34,Electronics,5,Website,1,1037,1220.0,592
2,199.73,Groceries,5,Website,1,973,1220.0,592
3,241.06,Books,3,Website,0,1015,1060.0,612
3,51.07,Clothing,3,Website,0,1069,1060.0,612
3,419.95,Furniture,3,Website,0,1036,1060.0,612
3,287.72,Groceries,3,Website,0,1106,1060.0,612
3,299.86,Groceries,3,Website,0,1235,1060.0,612
3,403.32,Furniture,3,Website,0,1254,1060.0,612
4,125.64,Electronics,2,Website,0,1084,974.0,694
4,125.64,Electronics,2,Website,0,1084,1112.0,694
4,123.59,Groceries,2,Website,0,961,974.0,694
4,123.59,Groceries,2,Website,0,961,1112.0,694
4,241.45,Electronics,2,Website,0,940,974.0,694
4,241.45,Electronics,2,Website,0,940,1112.0,694
4,44.22,Clothing,2,Website,0,935,974.0,694
4,44.22,Clothing,2,Website,0,935,1112.0,694
4,382.39,Furniture,2,Website,0,1154,974.0,694
4,382.39,Furniture,2,Website,0,1154,1112.0,694
5,475.69,Groceries,41,Website,0,1244,,631
5,178.91,Furniture,41,Website,0,1072,,631
5,373.51,Groceries,41,Website,0,960,,631
5,155.76,Electronics,41,Website,0,1002,,631
5,308.8,Electronics,41,Website,0,1111,,631
5,219.98,Furniture,41,Website,0,1053,,631
5,218.98,Electronics,41,Website,0,941,,631
5,69.86,Groceries,41,Website,0,1151,,631
6,365.57,Books,2,Website,0,1073,1171.0,671
6,448.86,Clothing,2,Website,0,994,1171.0,671
6,41.7,Furniture,2,Website,0,1075,1171.0,671
6,104.0,Furniture,2,Website,0,1112,1171.0,671
6,204.16,Electronics,2,Website,0,1005,1171.0,671
7,86.73,Books,32,Mobile App,0,999,,924
8,263.24,Books,17,Online Banking,1,998,1177.0,819
8,263.24,Books,17,Online Banking,1,998,1040.0,819
8,483.91,Clothing,17,Online Banking,1,983,1177.0,819
8,483.91,Clothing,17,Online Banking,1,983,1040.0,819
8,240.92,Books,17,Online Banking,1,1109,1177.0,819
8,240.92,Books,17,Online Banking,1,1109,1040.0,819
8,346.24,Clothing,17,Online Banking,1,1135,1177.0,819
8,346.24,Clothing,17,Online Banking,1,1135,1040.0,819
8,253.68,Furniture,17,Online Banking,1,1102,1177.0,819
8,253.68,Furniture,17,Online Banking,1,1102,1040.0,819
8,161.56,Electronics,17,Online Banking,1,1027,1177.0,819
8,161.56,Electronics,17,Online Banking,1,1027,1040.0,819
8,297.33,Furniture,17,Online Banking,1,1227,1177.0,819
8,297.33,Furniture,17,Online Banking,1,1227,1040.0,819
9,96.67,Electronics,24,Website,0,1143,1069.0,753
9,472.21,Clothing,24,Website,0,1134,1069.0,753
9,44.26,Groceries,24,Website,0,1283,1069.0,753
9,378.14,Groceries,24,Website,0,1004,1069.0,753
9,325.96,Clothing,24,Website,0,1150,1069.0,753
